Algorithm,Size,Threshold,InputType,Time(ms),Sorted
MergeSort,1000,5,0,0,Yes
QuickSort,1000,5,0,0,Yes
MergeSort,1000,5,1,0,Yes
QuickSort,1000,5,1,4.1319,Yes
MergeSort,1000,5,2,0,Yes
QuickSort,1000,5,2,0,Yes
MergeSort,1000,5,3,0,Yes
QuickSort,1000,5,3,0,Yes
MergeSort,1000,10,0,6.0396,Yes
QuickSort,1000,10,0,0,Yes
MergeSort,1000,10,1,0,Yes
QuickSort,1000,10,1,5.0536,Yes
MergeSort,1000,10,2,0,Yes
QuickSort,1000,10,2,0,Yes
MergeSort,1000,10,3,0,Yes
QuickSort,1000,10,3,0,Yes
MergeSort,1000,20,0,0,Yes
QuickSort,1000,20,0,0,Yes
MergeSort,1000,20,1,0,Yes
QuickSort,1000,20,1,5.126,Yes
MergeSort,1000,20,2,0,Yes
QuickSort,1000,20,2,0,Yes
MergeSort,1000,20,3,0,Yes
QuickSort,1000,20,3,0,Yes
MergeSort,10000,5,0,0,Yes
QuickSort,10000,5,0,0,Yes
MergeSort,10000,5,1,6.1679,Yes
QuickSort,10000,5,1,533.766,Yes
MergeSort,10000,5,2,0,Yes
QuickSort,10000,5,2,329.975,Yes
MergeSort,10000,5,3,0,Yes
QuickSort,10000,5,3,24.255,Yes
MergeSort,10000,10,0,0,Yes
QuickSort,10000,10,0,0,Yes
MergeSort,10000,10,1,0,Yes
QuickSort,10000,10,1,562.583